Name,id,display_name,works_api_url,h_index,works_count,country_code
marc keuschnigg,https://openalex.org/A5058700879,Marc Keuschnigg,https://api.openalex.org/works?filter=author.id:A5058700879,17.0,76.0,
sonia yeh,https://openalex.org/A5029945844,Sonia Yeh,https://api.openalex.org/works?filter=author.id:A5029945844,41.0,224.0,GB
peter hedström,https://openalex.org/A5071769816,Peter Hedström,https://api.openalex.org/works?filter=author.id:A5071769816,32.0,92.0,SE
nina tahmasebi,https://openalex.org/A5003859694,Nina Tahmasebi,https://api.openalex.org/works?filter=author.id:A5003859694,15.0,110.0,SE
elliot ash,https://openalex.org/A5106621037,Elliot Ash,https://api.openalex.org/works?filter=author.id:A5106621037,1.0,1.0,CH
hendrik erz,https://openalex.org/A5020654056,Hendrik Erz,https://api.openalex.org/works?filter=author.id:A5020654056,2.0,38.0,
mirta galesic,https://openalex.org/A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,47.0,196.0,US
david garcia,https://openalex.org/A5038971800,William M. Gardner,https://api.openalex.org/works?filter=author.id:A5038971800,36.0,199.0,ES
josef ginnerskov,https://openalex.org/A5019523274,Josef Ginnerskov,https://api.openalex.org/works?filter=author.id:A5019523274,1.0,3.0,SE
jacob habinek,https://openalex.org/A5091135953,Jacob Habinek,https://api.openalex.org/works?filter=author.id:A5091135953,5.0,23.0,SE
petter holme,https://openalex.org/A5079517520,Petter Holme,https://api.openalex.org/works?filter=author.id:A5079517520,51.0,251.0,JP
andreas jungherr,https://openalex.org/A5042192372,Andreas Jungherr,https://api.openalex.org/works?filter=author.id:A5042192372,31.0,137.0,DE
juhi kulshrestha,https://openalex.org/A5075116664,Juhi Kulshrestha,https://api.openalex.org/works?filter=author.id:A5075116664,16.0,56.0,FI
erika fille t. legara,https://openalex.org/A5074548613,Erika Fille Legara,https://api.openalex.org/works?filter=author.id:A5074548613,13.0,48.0,PH
may lim,https://openalex.org/A5010526266,May Lim,https://api.openalex.org/works?filter=author.id:A5010526266,35.0,77.0,AU
laura lotero,https://openalex.org/A5084602527,Laura Lotero,https://api.openalex.org/works?filter=author.id:A5084602527,11.0,38.0,
angélica sousa da mata,https://openalex.org/A5056123843,Angélica S. Mata,https://api.openalex.org/works?filter=author.id:A5056123843,12.0,37.0,BR
denise pumain,https://openalex.org/A5040713816,Dénise Pumain,https://api.openalex.org/works?filter=author.id:A5040713816,33.0,610.0,FR
yang yue,https://openalex.org/A5011660475,Yue‐Heng Yang,https://api.openalex.org/works?filter=author.id:A5011660475,73.0,286.0,CN
martin arvidsson,https://openalex.org/A5008643048,Martin Arvidsson,https://api.openalex.org/works?filter=author.id:A5008643048,14.0,60.0,SE
yuan liao,https://openalex.org/A5108538229,Hong-Yuan Mark Liao,https://api.openalex.org/works?filter=author.id:A5108538229,35.0,195.0,TW
anastasia menshikova,https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2.0,6.0,SE
lauren fahey,https://openalex.org/A5027964188,Lauren E. Fahey,https://api.openalex.org/works?filter=author.id:A5027964188,1.0,1.0,US
zhao feng,https://openalex.org/A5100437036,Kai Wang,https://api.openalex.org/works?filter=author.id:A5100437036,171.0,7341.0,CN
thomas haase,https://openalex.org/A5071889215,Volker H. Haase,https://api.openalex.org/works?filter=author.id:A5071889215,67.0,175.0,US
yukun jiao,https://openalex.org/A5113598639,Yongli Jiao,https://api.openalex.org/works?filter=author.id:A5113598639,20.0,27.0,
xiaojing jie,https://openalex.org/A5100432839,Xiaojing Zhang,https://api.openalex.org/works?filter=author.id:A5100432839,24.0,90.0,CN
kazuki sakamoto,https://openalex.org/A5074705824,Kazuki Sakamoto,https://api.openalex.org/works?filter=author.id:A5074705824,22.0,187.0,JP
vsevolod suschevskiy,https://openalex.org/A5070427696,Vsevolod Suschevskiy,https://api.openalex.org/works?filter=author.id:A5070427696,1.0,7.0,US
yun-tsz tsai,https://openalex.org/A5112349429,Tsai-Yun Chan,https://api.openalex.org/works?filter=author.id:A5112349429,1.0,6.0,TW
yize zhang,https://openalex.org/A5064837504,Yize Zhang,https://api.openalex.org/works?filter=author.id:A5064837504,20.0,141.0,CN
yue zheng,https://openalex.org/A5006964660,Ming Zheng,https://api.openalex.org/works?filter=author.id:A5006964660,60.0,298.0,US
noé vidal-naquet,https://openalex.org/A5115804472,Noé Vidal-Naquet,https://api.openalex.org/works?filter=author.id:A5115804472,0.0,1.0,
dean eckles,https://openalex.org/A5080265907,Dean Eckles,https://api.openalex.org/works?filter=author.id:A5080265907,34.0,121.0,US
kathleen carley,https://openalex.org/A5085927300,Kathleen M. Carley,https://api.openalex.org/works?filter=author.id:A5085927300,80.0,881.0,
laura nelson,https://openalex.org/A5111667138,Laura E. Nelson,https://api.openalex.org/works?filter=author.id:A5111667138,12.0,21.0,US
duncan j. watts,https://openalex.org/A5000679279,Duncan J. Watts,https://api.openalex.org/works?filter=author.id:A5000679279,70.0,232.0,US
brandon stewart,https://openalex.org/A5113226689,Brandon Stewart,https://api.openalex.org/works?filter=author.id:A5113226689,31.0,303.0,US
lisa p. argyle,https://openalex.org/A5070497645,Lisa P. Argyle,https://api.openalex.org/works?filter=author.id:A5070497645,11.0,38.0,
amir goldberg,https://openalex.org/A5109219790,Amir Pnueli,https://api.openalex.org/works?filter=author.id:A5109219790,88.0,367.0,IL
arnout van de rijt,https://openalex.org/A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,23.0,106.0,IT
sarah williams,https://openalex.org/A5033458280,Sarah Williams,https://api.openalex.org/works?filter=author.id:A5033458280,34.0,123.0,GB
étienne ollion,https://openalex.org/A5022704573,Étienne Ollion,https://api.openalex.org/works?filter=author.id:A5022704573,17.0,131.0,
émilien schultz,https://openalex.org/A5079294298,Émilien Schultz,https://api.openalex.org/works?filter=author.id:A5079294298,11.0,114.0,FR
miriam schirmer,https://openalex.org/A5036764962,Miriam Schirmer,https://api.openalex.org/works?filter=author.id:A5036764962,3.0,13.0,
julia mendelsohn,https://openalex.org/A5038833789,Julia Mendelsohn,https://api.openalex.org/works?filter=author.id:A5038833789,9.0,23.0,US
dustin wright,https://openalex.org/A5090577017,Dustin E. Wright,https://api.openalex.org/works?filter=author.id:A5090577017,9.0,25.0,
dietram a. scheufele,https://openalex.org/A5064753440,Dietram A. Scheufele,https://api.openalex.org/works?filter=author.id:A5064753440,76.0,327.0,US
ágnes horvát,https://openalex.org/A5004566032,Emőke-Ágnes Horvát,https://api.openalex.org/works?filter=author.id:A5004566032,15.0,72.0,US
caspar van lissa,https://openalex.org/A5069426228,Caspar J. Van Lissa,https://api.openalex.org/works?filter=author.id:A5069426228,36.0,200.0,NL
jorge barreras,https://openalex.org/A5035315636,Jorge Varela Barreras,https://api.openalex.org/works?filter=author.id:A5035315636,16.0,46.0,ES
thomas li,https://openalex.org/A5052819678,L. Li,https://api.openalex.org/works?filter=author.id:A5052819678,184.0,3382.0,
chen zhong,https://openalex.org/A5100430399,Zhong Chen,https://api.openalex.org/works?filter=author.id:A5100430399,103.0,1232.0,US
cate heine,https://openalex.org/A5027319334,Cate Heine,https://api.openalex.org/works?filter=author.id:A5027319334,7.0,21.0,GB
adam zhou,https://openalex.org/A5015739831,Andy Zhou,https://api.openalex.org/works?filter=author.id:A5015739831,11.0,50.0,DK
paolo turrini,https://openalex.org/A5066749809,Paolo Turrini,https://api.openalex.org/works?filter=author.id:A5066749809,13.0,21.0,IT
elias fernández domingos,https://openalex.org/A5056886170,Elias Fernández Domingos,https://api.openalex.org/works?filter=author.id:A5056886170,7.0,31.0,BE
kristina gligoric,https://openalex.org/A5031039880,Kristina Gligorić,https://api.openalex.org/works?filter=author.id:A5031039880,10.0,48.0,
cinoo lee,https://openalex.org/A5067413576,Cinoo Lee,https://api.openalex.org/works?filter=author.id:A5067413576,1.0,1.0,
tijana zrnic,https://openalex.org/A5032482329,Tijana Zrnic,https://api.openalex.org/works?filter=author.id:A5032482329,10.0,44.0,US
adel daoud,https://openalex.org/A5090745602,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5090745602,21.0,143.0,SE
connor jerzak,https://openalex.org/A5026867670,Connor Jerzak,https://api.openalex.org/works?filter=author.id:A5026867670,5.0,509.0,SE
mark whiting,https://openalex.org/A5109996006,M. C. Whiting,https://api.openalex.org/works?filter=author.id:A5109996006,32.0,208.0,US
linnea gandhi,https://openalex.org/A5030831197,Katherine L. Milkman,https://api.openalex.org/works?filter=author.id:A5030831197,47.0,180.0,
duncan watts,https://openalex.org/A5000679279,Duncan J. Watts,https://api.openalex.org/works?filter=author.id:A5000679279,70.0,232.0,US
egor kotov,https://openalex.org/A5002144560,Egor Kotov,https://api.openalex.org/works?filter=author.id:A5002144560,2.0,39.0,ES
johannes mast,https://openalex.org/A5016430518,Johannes Mast,https://api.openalex.org/works?filter=author.id:A5016430518,6.0,20.0,US
matthew a. turner,https://openalex.org/A5045839389,Matthew A. Turner,https://api.openalex.org/works?filter=author.id:A5045839389,27.0,126.0,US
james holland jones,https://openalex.org/A5077865016,Larry V. Hedges,https://api.openalex.org/works?filter=author.id:A5077865016,98.0,450.0,US
kathleen carly,https://openalex.org/A5034443870,Katie Sweet,https://api.openalex.org/works?filter=author.id:A5034443870,22.0,29.0,GB
yaomin jiang,https://openalex.org/A5019284998,Yi Jiang,https://api.openalex.org/works?filter=author.id:A5019284998,41.0,234.0,ES
levin brinkmann,https://openalex.org/A5061514105,Levin Brinkmann,https://api.openalex.org/works?filter=author.id:A5061514105,5.0,15.0,DE
anne-marie nussberger,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,10.0,34.0,GB
ivan soraperra,https://openalex.org/A5071006314,Ivan Soraperra,https://api.openalex.org/works?filter=author.id:A5071006314,13.0,67.0,DE
jf bonnefon,https://openalex.org/A5039792659,JF Bonnefon,https://api.openalex.org/works?filter=author.id:A5039792659,0.0,1.0,
iyad rahwan,https://openalex.org/A5009232244,Iyad Rahwan,https://api.openalex.org/works?filter=author.id:A5009232244,49.0,335.0,DE
david alexander ehrlich,https://openalex.org/A5029115979,David A. Ehrlich,https://api.openalex.org/works?filter=author.id:A5029115979,7.0,19.0,DE
viola priesemann,https://openalex.org/A5079452617,Viola Priesemann,https://api.openalex.org/works?filter=author.id:A5079452617,36.0,248.0,DE
pratyusha kalluri,https://openalex.org/A5011684148,Pratyusha Kalluri,https://api.openalex.org/works?filter=author.id:A5011684148,12.0,15.0,US
maggie harrington,https://openalex.org/A5084552686,Maggie Harrington,https://api.openalex.org/works?filter=author.id:A5084552686,3.0,5.0,US
esin durmus,https://openalex.org/A5001994692,Esin Durmus,https://api.openalex.org/works?filter=author.id:A5001994692,19.0,51.0,
kiara l. sanchez,https://openalex.org/A5025451579,Kiara L. Sanchez,https://api.openalex.org/works?filter=author.id:A5025451579,3.0,5.0,
nay san,https://openalex.org/A5012458624,Nay San,https://api.openalex.org/works?filter=author.id:A5012458624,7.0,45.0,US
danny tse,https://openalex.org/A5079301645,Danny Tse Ngong,https://api.openalex.org/works?filter=author.id:A5079301645,1.0,1.0,
xuan zhao,https://openalex.org/A5100647548,Kai Zhao,https://api.openalex.org/works?filter=author.id:A5100647548,39.0,247.0,TH
maryam hamedani,https://openalex.org/A5005475114,MarYam G. Hamedani,https://api.openalex.org/works?filter=author.id:A5005475114,6.0,19.0,
hazel rose markus,https://openalex.org/A5020076556,Hazel Rose Markus,https://api.openalex.org/works?filter=author.id:A5020076556,102.0,324.0,US
dan jurafsky,https://openalex.org/A5087088138,Dan Jurafsky,https://api.openalex.org/works?filter=author.id:A5087088138,84.0,369.0,US
jennifer l. eberhardt,https://openalex.org/A5054094267,Jennifer L. Eberhardt,https://api.openalex.org/works?filter=author.id:A5054094267,30.0,93.0,US
giuliano cornacchia,https://openalex.org/A5081445152,Giuliano Cornacchia,https://api.openalex.org/works?filter=author.id:A5081445152,5.0,24.0,IT
luca pappalardo,https://openalex.org/A5068819495,Luca Pappalardo,https://api.openalex.org/works?filter=author.id:A5068819495,33.0,175.0,IT
mirco nanni,https://openalex.org/A5009248582,Mirco Nanni,https://api.openalex.org/works?filter=author.id:A5009248582,26.0,155.0,IT
dino pedreschi,https://openalex.org/A5044898565,Dino Pedreschi,https://api.openalex.org/works?filter=author.id:A5044898565,57.0,384.0,IT
marta c. gonzalez,https://openalex.org/A5111672074,Marta C. González,https://api.openalex.org/works?filter=author.id:A5111672074,55.0,225.0,US
drew johnston,https://openalex.org/A5031680408,Drew Johnston,https://api.openalex.org/works?filter=author.id:A5031680408,9.0,29.0,US
michael bailey,https://openalex.org/A5009735497,Michael Bailey,https://api.openalex.org/works?filter=author.id:A5009735497,115.0,1221.0,AU
ayush kumar,https://openalex.org/A5028360618,Ayush Kumar,https://api.openalex.org/works?filter=author.id:A5028360618,34.0,158.0,GB
theresa kuchler,https://openalex.org/A5006578976,Theresa Kuchler,https://api.openalex.org/works?filter=author.id:A5006578976,30.0,97.0,US
johannes stroebel,https://openalex.org/A5072573663,Johannes Stroebel,https://api.openalex.org/works?filter=author.id:A5072573663,47.0,175.0,US
zerui tian,https://openalex.org/A5015358540,Zerui Tian,https://api.openalex.org/works?filter=author.id:A5015358540,4.0,8.0,CN
marko čuljak,https://openalex.org/A5088202209,Gordana Pavliša,https://api.openalex.org/works?filter=author.id:A5088202209,11.0,89.0,HR
andreas spitz,https://openalex.org/A5018128415,Andreas Spitz,https://api.openalex.org/works?filter=author.id:A5018128415,16.0,111.0,DE
akhil arora,https://openalex.org/A5002429891,Anmol Arora,https://api.openalex.org/works?filter=author.id:A5002429891,24.0,203.0,IN
keigo kusumegi,https://openalex.org/A5078875628,Keigo Kusumegi,https://api.openalex.org/works?filter=author.id:A5078875628,1.0,4.0,JP
xinyu yang,https://openalex.org/A5056067943,Xinyu Yang,https://api.openalex.org/works?filter=author.id:A5056067943,44.0,543.0,CN
paul ginsparg,https://openalex.org/A5060975667,Paul Ginsparg,https://api.openalex.org/works?filter=author.id:A5060975667,35.0,98.0,
mathijs de vaan,https://openalex.org/A5044125536,Mathijs de Vaan,https://api.openalex.org/works?filter=author.id:A5044125536,15.0,50.0,US
toby stuart,https://openalex.org/A5032016061,Toby E. Stuart,https://api.openalex.org/works?filter=author.id:A5032016061,44.0,111.0,
yian yin,https://openalex.org/A5013465081,Yian Yin,https://api.openalex.org/works?filter=author.id:A5013465081,13.0,32.0,US
samar haider,https://openalex.org/A5020790791,Samar Haider,https://api.openalex.org/works?filter=author.id:A5020790791,3.0,14.0,US
jenny shan wang,https://openalex.org/A5101701156,Zengshan Li,https://api.openalex.org/works?filter=author.id:A5101701156,29.0,162.0,CN
amir tohidi kalorazi,https://openalex.org/A5066951068,Amir Tohidi Kalorazi,https://api.openalex.org/works?filter=author.id:A5066951068,0.0,1.0,
timothy dörr,https://openalex.org/A5055160277,Timothy G. Dorr,https://api.openalex.org/works?filter=author.id:A5055160277,3.0,10.0,US
david rothschild,https://openalex.org/A5054707908,David Rothschild,https://api.openalex.org/works?filter=author.id:A5054707908,30.0,237.0,US
chris callison-burch,https://openalex.org/A5068508539,Chris Callison-Burch,https://api.openalex.org/works?filter=author.id:A5068508539,60.0,375.0,US
ali salloum,https://openalex.org/A5068770852,Ali Pınar,https://api.openalex.org/works?filter=author.id:A5068770852,30.0,296.0,TR
yan xia,https://openalex.org/A5100367775,Yan Xia,https://api.openalex.org/works?filter=author.id:A5100367775,43.0,662.0,US
mikko kivelä,https://openalex.org/A5002020728,Mikko Kivelä,https://api.openalex.org/works?filter=author.id:A5002020728,22.0,118.0,FI
corinna coupette,https://openalex.org/A5054439389,Corinna Coupette,https://api.openalex.org/works?filter=author.id:A5054439389,7.0,62.0,DE
ghadeer awwad,https://openalex.org/A5097605722,Ghadeer Awwad,https://api.openalex.org/works?filter=author.id:A5097605722,1.0,1.0,US
david gamba,https://openalex.org/A5037188851,David Gamba,https://api.openalex.org/works?filter=author.id:A5037188851,1.0,5.0,US
lavinia dunagan,https://openalex.org/A5062199735,Lavinia Dunagan,https://api.openalex.org/works?filter=author.id:A5062199735,3.0,10.0,US
tamara n. rayan,https://openalex.org/A5087802768,Tamara X. Rayan,https://api.openalex.org/works?filter=author.id:A5087802768,1.0,3.0,US
yingdan lu,https://openalex.org/A5032446414,Yingdan Lu,https://api.openalex.org/works?filter=author.id:A5032446414,11.0,47.0,US
xinyi liu,https://openalex.org/A5100395652,Xinyi Liu,https://api.openalex.org/works?filter=author.id:A5100395652,34.0,390.0,CN
carl zhou,https://openalex.org/A5033444412,Bolei Zhou,https://api.openalex.org/works?filter=author.id:A5033444412,65.0,262.0,US
timo koch,https://openalex.org/A5042696215,Troels Koch,https://api.openalex.org/works?filter=author.id:A5042696215,32.0,98.0,US
sanaz talaifar,https://openalex.org/A5065764227,Sanaz Talaifar,https://api.openalex.org/works?filter=author.id:A5065764227,14.0,35.0,
daniel racek,https://openalex.org/A5048905415,Daniel Racek,https://api.openalex.org/works?filter=author.id:A5048905415,5.0,23.0,DE
jan digutsch,https://openalex.org/A5002716088,Jan Digutsch,https://api.openalex.org/works?filter=author.id:A5002716088,6.0,15.0,DE
pietro alessandro aluffi,https://openalex.org/A5116210782,Pietro Alessandro Aluffi,https://api.openalex.org/works?filter=author.id:A5116210782,1.0,1.0,
ramona schoedel,https://openalex.org/A5034735453,Ramona Schoedel,https://api.openalex.org/works?filter=author.id:A5034735453,14.0,81.0,DE
markus buehner,https://openalex.org/A5001528235,Markus Buehner,https://api.openalex.org/works?filter=author.id:A5001528235,7.0,17.0,DE
clemens stachl,https://openalex.org/A5048056611,Clemens Stachl,https://api.openalex.org/works?filter=author.id:A5048056611,21.0,93.0,CH
shaily bhatt,https://openalex.org/A5102901503,Shuchi Bhatt,https://api.openalex.org/works?filter=author.id:A5102901503,16.0,145.0,
tal august,https://openalex.org/A5029563909,Tal August,https://api.openalex.org/works?filter=author.id:A5029563909,13.0,43.0,
maria antoniak,https://openalex.org/A5001225581,Maria Antoniak,https://api.openalex.org/works?filter=author.id:A5001225581,8.0,50.0,US
mohammed alsobay,https://openalex.org/A5027814433,Mohammed Alsobay,https://api.openalex.org/works?filter=author.id:A5027814433,4.0,20.0,US
jake m. hofman,https://openalex.org/A5081429241,Jake M. Hofman,https://api.openalex.org/works?filter=author.id:A5081429241,29.0,80.0,US
daniel g. goldstein,https://openalex.org/A5007746083,Daniel G. Goldstein,https://api.openalex.org/works?filter=author.id:A5007746083,48.0,229.0,US
junsol kim,https://openalex.org/A5028191957,Junsol Kim,https://api.openalex.org/works?filter=author.id:A5028191957,6.0,15.0,US
james evans,https://openalex.org/A5071261828,James Evans,https://api.openalex.org/works?filter=author.id:A5071261828,59.0,765.0,US
aaron schein,https://openalex.org/A5021334672,Joshua Maynez,https://api.openalex.org/works?filter=author.id:A5021334672,12.0,50.0,
helena bjornesjo,https://openalex.org/A5124887153,Helena Björnesjö,https://api.openalex.org/works?filter=author.id:A5124887153,0.0,2.0,SE
axel alness borg,https://openalex.org/A5124876464,Axel Alness Borg,https://api.openalex.org/works?filter=author.id:A5124876464,0.0,1.0,SE
katie cohen,https://openalex.org/A5014041950,Matt A. Price,https://api.openalex.org/works?filter=author.id:A5014041950,45.0,347.0,ZM
björn pelzer,https://openalex.org/A5044522890,Björn Pelzer,https://api.openalex.org/works?filter=author.id:A5044522890,11.0,34.0,SE
erik wachtmeister,https://openalex.org/A5124966893,Erik Wachtmeister,https://api.openalex.org/works?filter=author.id:A5124966893,0.0,1.0,SE
yilun liu,https://openalex.org/A5100748612,Chao Gao,https://api.openalex.org/works?filter=author.id:A5100748612,74.0,466.0,CN
daniel matter,https://openalex.org/A5073734735,Daniel Matter,https://api.openalex.org/works?filter=author.id:A5073734735,10.0,31.0,US
jürgen pfeffer,https://openalex.org/A5109562869,Linton C. Freeman,https://api.openalex.org/works?filter=author.id:A5109562869,40.0,106.0,US
katelyn x. mei,https://openalex.org/A5008536718,K.K. Mei,https://api.openalex.org/works?filter=author.id:A5008536718,26.0,170.0,CN
anna seo gyeong choi,https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,3.0,13.0,US
hilke schellmann,https://openalex.org/A5006651432,Hilke Schellmann,https://api.openalex.org/works?filter=author.id:A5006651432,3.0,4.0,US
mona sloane,https://openalex.org/A5075302056,Mona Sloane,https://api.openalex.org/works?filter=author.id:A5075302056,12.0,61.0,US
allison koenecke,https://openalex.org/A5065441417,Joshua T Vogelstein,https://api.openalex.org/works?filter=author.id:A5065441417,48.0,582.0,US
hannah waight,https://openalex.org/A5033712412,Hannah Waight,https://api.openalex.org/works?filter=author.id:A5033712412,1.0,4.0,US
eddie yang,https://openalex.org/A5055381395,Eddie Belter,https://api.openalex.org/works?filter=author.id:A5055381395,3.0,3.0,
yin yuan,https://openalex.org/A5100753210,Yuan Yin,https://api.openalex.org/works?filter=author.id:A5100753210,44.0,141.0,CN
solomon messing,https://openalex.org/A5069884896,Solomon Messing,https://api.openalex.org/works?filter=author.id:A5069884896,22.0,114.0,US
margaret roberts,https://openalex.org/A5082742221,Margaret E. Roberts,https://api.openalex.org/works?filter=author.id:A5082742221,38.0,207.0,US
brandon m. stewart,https://openalex.org/A5113226689,Brandon Stewart,https://api.openalex.org/works?filter=author.id:A5113226689,31.0,303.0,US
joshua tucker,https://openalex.org/A5072046918,Joshua A. Tucker,https://api.openalex.org/works?filter=author.id:A5072046918,62.0,417.0,US
hanjia lyu,https://openalex.org/A5040900346,Hanjia Lyu,https://api.openalex.org/works?filter=author.id:A5040900346,17.0,102.0,US
jiebo luo,https://openalex.org/A5055469774,Jiebo Luo,https://api.openalex.org/works?filter=author.id:A5055469774,97.0,1209.0,
jian kang,https://openalex.org/A5049293054,Jian‐Kang Zhu,https://api.openalex.org/works?filter=author.id:A5049293054,190.0,739.0,US
edoardo loru,https://openalex.org/A5092998265,Edoardo Loru,https://api.openalex.org/works?filter=author.id:A5092998265,3.0,17.0,
jacopo nudo,https://openalex.org/A5116001022,Jacopo Nudo,https://api.openalex.org/works?filter=author.id:A5116001022,2.0,12.0,
niccolò di marco,https://openalex.org/A5085261603,Niccolò Di Marco,https://api.openalex.org/works?filter=author.id:A5085261603,7.0,42.0,IT
edoardo di martino,https://openalex.org/A5114988046,Edoardo Di Martino,https://api.openalex.org/works?filter=author.id:A5114988046,1.0,6.0,IT
matteo cinelli,https://openalex.org/A5076143079,Matteo Cinelli,https://api.openalex.org/works?filter=author.id:A5076143079,20.0,125.0,IT
walter quattrociocchi,https://openalex.org/A5008291667,Walter Quattrociocchi,https://api.openalex.org/works?filter=author.id:A5008291667,40.0,197.0,IT
jonathan sakunkoo,https://openalex.org/A5109819791,Jonathan Sakunkoo,https://api.openalex.org/works?filter=author.id:A5109819791,0.0,5.0,US
annabella sakunkoo,https://openalex.org/A5109819792,Annabella Sakunkoo,https://api.openalex.org/works?filter=author.id:A5109819792,0.0,5.0,US
daniele barolo,https://openalex.org/A5119875601,Daniele Barolo,https://api.openalex.org/works?filter=author.id:A5119875601,0.0,1.0,
chiara valentin,https://openalex.org/A5064876416,Raluca Bievel Radulescu,https://api.openalex.org/works?filter=author.id:A5064876416,8.0,18.0,RO
fariba karimi,https://openalex.org/A5074129504,Fariba Karimi,https://api.openalex.org/works?filter=author.id:A5074129504,17.0,109.0,
luis galárraga,https://openalex.org/A5081390951,Luis Galárraga,https://api.openalex.org/works?filter=author.id:A5081390951,14.0,74.0,FR
gonzalo gabriel méndez,https://openalex.org/A5040730614,Gonzalo Gabriel Méndez,https://api.openalex.org/works?filter=author.id:A5040730614,9.0,39.0,EC
lisette espin-noboa,https://openalex.org/A5014548243,Lisette Espín-Noboa,https://api.openalex.org/works?filter=author.id:A5014548243,8.0,29.0,
hope schroeder,https://openalex.org/A5018646665,Hope Schroeder,https://api.openalex.org/works?filter=author.id:A5018646665,5.0,15.0,US
deb roy,https://openalex.org/A5004281470,Deb Roy,https://api.openalex.org/works?filter=author.id:A5004281470,42.0,274.0,DE
jad kabbara,https://openalex.org/A5026429870,Jad Kabbara,https://api.openalex.org/works?filter=author.id:A5026429870,7.0,32.0,
kristina gligorić,https://openalex.org/A5031039880,Kristina Gligorić,https://api.openalex.org/works?filter=author.id:A5031039880,10.0,48.0,
emmanuel candes,https://openalex.org/A5072495084,Emmanuel J. Candès,https://api.openalex.org/works?filter=author.id:A5072495084,88.0,299.0,
alisa kanganis,https://openalex.org/A5117815526,Alisa Kanganis,https://api.openalex.org/works?filter=author.id:A5117815526,0.0,2.0,
katherine a. keith,https://openalex.org/A5109210308,Wilbur A. Franklin,https://api.openalex.org/works?filter=author.id:A5109210308,92.0,637.0,
achim edelmann,https://openalex.org/A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,11.0,87.0,FR
simon walo,https://openalex.org/A5092515835,Simon Walo,https://api.openalex.org/works?filter=author.id:A5092515835,3.0,6.0,CH
panayiotis smeros,https://openalex.org/A5082283204,Panayiotis Smeros,https://api.openalex.org/works?filter=author.id:A5082283204,6.0,19.0,
sergio e. zanotto,https://openalex.org/A5095765187,Sergio E. Zanotto,https://api.openalex.org/works?filter=author.id:A5095765187,1.0,4.0,
segun aroyehun,https://openalex.org/A5063612283,Segun Taofeek Aroyehun,https://api.openalex.org/works?filter=author.id:A5063612283,6.0,31.0,DE
shreya havaldar,https://openalex.org/A5024378198,Shreya Havaldar,https://api.openalex.org/works?filter=author.id:A5024378198,8.0,32.0,US
lyle ungar,https://openalex.org/A5044944954,Lyle Ungar,https://api.openalex.org/works?filter=author.id:A5044944954,87.0,653.0,
jacy reese anthis,https://openalex.org/A5007178173,Jacy Reese Anthis,https://api.openalex.org/works?filter=author.id:A5007178173,8.0,45.0,US
erik brynjolfsson,https://openalex.org/A5038255653,Erik Brynjolfsson,https://api.openalex.org/works?filter=author.id:A5038255653,85.0,324.0,US
hiromu yakura,https://openalex.org/A5051687457,Hiromu Yakura,https://api.openalex.org/works?filter=author.id:A5051687457,14.0,46.0,DE
ezequiel lopez-lopez,https://openalex.org/A5091243468,Ezequiel López‐Rubio,https://api.openalex.org/works?filter=author.id:A5091243468,25.0,215.0,
ignacio serna,https://openalex.org/A5073286477,Sergio Ignacio Serna‐Garcés,https://api.openalex.org/works?filter=author.id:A5073286477,10.0,65.0,CO
prateek gupta,https://openalex.org/A5076308776,Prateek K. Gupta,https://api.openalex.org/works?filter=author.id:A5076308776,27.0,116.0,US
babak heydari,https://openalex.org/A5073502448,Yakov Bart,https://api.openalex.org/works?filter=author.id:A5073502448,18.0,85.0,US
negin maddah,https://openalex.org/A5062663565,Majid Elahi Shirvan,https://api.openalex.org/works?filter=author.id:A5062663565,26.0,105.0,IR
thomas f. eisenmann,https://openalex.org/A5028493599,Thomas Müller,https://api.openalex.org/works?filter=author.id:A5028493599,8.0,49.0,FR
andres karjus,https://openalex.org/A5064355537,Andres Karjus,https://api.openalex.org/works?filter=author.id:A5064355537,9.0,46.0,EE
mar canet sola,https://openalex.org/A5030086247,Mar Canet Solà,https://api.openalex.org/works?filter=author.id:A5030086247,7.0,37.0,DE
bramantyo ibrahim supriyatno,https://openalex.org/A5116004343,Bramantyo Ibrahim Supriyatno,https://api.openalex.org/works?filter=author.id:A5116004343,2.0,3.0,DE
arti thakur,https://openalex.org/A5113328275,A.R. Thakur,https://api.openalex.org/works?filter=author.id:A5113328275,9.0,22.0,IN
tom murray,https://openalex.org/A5102733391,Christopher J L Murray,https://api.openalex.org/works?filter=author.id:A5102733391,254.0,1004.0,US
martin hilbert,https://openalex.org/A5050101991,Martin Hilbert,https://api.openalex.org/works?filter=author.id:A5050101991,27.0,154.0,US
